wsize;algorithm;update;query;radius;ratio;memory
100000;PELLCAPPDELTA20;91324.04;301549143.5;1.810348168;1.016413253;1746.695
200000;PELLCAPPDELTA20;97615.73;322769718.1;1.766836198;0.961341272;1825.14
500000;PELLCAPPDELTA20;121203.595;365220388.3;1.796335617;0.97628886;1920.885
500;PELLCAPPDELTA25;51704.74;14117737.07;1.629259993;0.922742213;635.89
1000;PELLCAPPDELTA25;48569.175;22189563.61;1.685895235;0.978950213;721.115
5000;PELLCAPPDELTA25;66328.925;54077337.12;1.866449199;1.084454978;948.42
10000;PELLCAPPDELTA25;61266.06;68784068.34;1.832965833;1.059933245;1003.005
20000;PELLCAPPDELTA25;58088.47;92739216.77;1.921530774;1.099664465;1117.475
30000;PELLCAPPDELTA25;72164.475;108569971.6;1.749662338;0.996858119;1162.69
40000;PELLCAPPDELTA25;72882.205;115654127;1.87716525;1.070010129;1199
50000;PELLCAPPDELTA25;72210.535;122058470.5;1.947191993;1.127388934;1208.165
60000;PELLCAPPDELTA25;75555.505;125950970.1;1.772030189;1.012819744;1242.56
70000;PELLCAPPDELTA25;84727.72;140017064.5;1.863070953;1.047505666;1276.84
80000;PELLCAPPDELTA25;70518.07;133675124.6;1.794777233;1.028439558;1274.81
90000;PELLCAPPDELTA25;76786.25;139746162.3;1.799039018;1.021583343;1291.96
100000;PELLCAPPDELTA25;81996.475;141854837;1.821422169;1.022441086;1300.53
200000;PELLCAPPDELTA25;87254.95;162753050.9;1.801972012;0.979865668;1354.045
500000;PELLCAPPDELTA25;102803.98;174353124.1;1.82948972;0.993641198;1387.53
500;PELLCAPPDELTA30;31872.995;13155469.34;1.652080309;0.93566665;563.15
1000;PELLCAPPDELTA30;29800.835;21685996.43;1.654182939;0.960535807;659.595
5000;PELLCAPPDELTA30;36136.48;42866430.59;1.746429838;1.014720643;819.14
10000;PELLCAPPDELTA30;36867.135;54216626.29;1.72930384;0.999989524;871.42
20000;PELLCAPPDELTA30;48293.435;63907347.49;1.765691891;1.01048011;936.505
30000;PELLCAPPDELTA30;56020.665;65397445.47;1.854783085;1.056749944;929.805
40000;PELLCAPPDELTA30;55589.595;67791931.05;1.753893882;0.999743745;953.285
50000;PELLCAPPDELTA30;55783.885;70902682.2;1.80107796;1.042791552;956.69
60000;PELLCAPPDELTA30;55101.22;72177666.67;1.882874086;1.076173568;985.455
70000;PELLCAPPDELTA30;63289.375;75297640.97;1.819393262;1.022948024;984.475
80000;PELLCAPPDELTA30;58386.91;74925230.69;1.767273027;1.012679154;992.065
90000;PELLCAPPDELTA30;62133.3;77006722.56;1.823612305;1.03553727;1004.65
100000;PELLCAPPDELTA30;62064.92;76219120.42;1.758287531;0.987000951;1001.775
200000;PELLCAPPDELTA30;75188.775;89233385.48;1.782872877;0.969480054;1049.38
500000;PELLCAPPDELTA30;89374.065;99848963.12;1.837944292;0.998233086;1089.885
500;PELLCAPPDELTA35;30386.595;2761546.9;1.678881951;0.950845938;379.785
1000;PELLCAPPDELTA35;27678.995;3428674.21;1.691744401;0.982346652;404.12
5000;PELLCAPPDELTA35;33702.495;3905975.5;1.723044553;1.001133192;416.125
10000;PELLCAPPDELTA35;31657.515;4941788.41;1.799389902;1.040517583;420.19
20000;PELLCAPPDELTA35;41512.165;5210262.81;1.880199887;1.076011392;439.805
30000;PELLCAPPDELTA35;46939.375;5720029.615;1.842969212;1.050019071;444.645
40000;PELLCAPPDELTA35;49120.97;6566482.99;1.734591132;0.988740911;466.15
50000;PELLCAPPDELTA35;46652.755;6850498.225;1.730486822;1.001920561;468.14
60000;PELLCAPPDELTA35;49211.65;6372882.425;1.809943359;1.034489356;467.175
70000;PELLCAPPDELTA35;52804.92;6872023.55;1.863172472;1.047562745;465.255
80000;PELLCAPPDELTA35;50053.565;7660744.45;1.81841368;1.041983666;473.21
90000;PELLCAPPDELTA35;49871.65;6628742.57;1.826014275;1.036901228;468.735
100000;PELLCAPPDELTA35;53130.81;7224651.39;1.865422389;1.047140266;473.995
200000;PELLCAPPDELTA35;62437.33;6914577;1.830982367;0.995640747;468.35
500000;PELLCAPPDELTA35;72334.51;7304962.4;1.88593026;1.024295454;473.54
500;PELLCAPPDELTA40;26956.015;2033824.28;1.724118665;0.976466052;357.24
1000;PELLCAPPDELTA40;25709.175;2146727.14;1.627231384;0.944885824;361.26
5000;PELLCAPPDELTA40;30590.335;2214765.71;1.774756173;1.031178972;365.54
10000;PELLCAPPDELTA40;27864.62;2095579.995;1.796414978;1.0387973;353.975
20000;PELLCAPPDELTA40;31985.835;2099117.795;1.905729337;1.090621529;369.75
30000;PELLCAPPDELTA40;43257.11;2281453.725;1.809887035;1.031170727;360.74
40000;PELLCAPPDELTA40;47312.86;2057604.87;1.761370866;1.00400573;361.395
50000;PELLCAPPDELTA40;44818.77;2206210.395;1.81255179;1.049434693;357.04
60000;PELLCAPPDELTA40;48795.095;2176379.265;1.819934934;1.040200131;367.57
70000;PELLCAPPDELTA40;50459.625;2190807.485;1.866836099;1.049622607;357.43
80000;PELLCAPPDELTA40;47664.285;2371231.935;1.859165512;1.065335197;363.6
90000;PELLCAPPDELTA40;47640.18;2164341.255;1.864327541;1.058657395;364.185
100000;PELLCAPPDELTA40;47680.235;2226199.7;1.933155554;1.085161748;365.865
200000;PELLCAPPDELTA40;59444.305;2453461.32;1.873563426;1.018795223;362.955
