beta;algorithm;update;query;radius;ratio;memory
50;PELLCAPPDELTA10;43135.995;27014853.9;1897.287565;1.050560246;538.12
70;PELLCAPPDELTA10;24829.725;4352633.255;2131.374588;1.178987714;239.535
100;PELLCAPPDELTA10;24072.39;1511571.05;2173.439516;1.200135978;172.645
200;PELLCAPPDELTA10;28225.555;810012.37;3109.039918;1.72202624;184.075
500;PELLCAPPDELTA10;36147.615;810305.165;3109.039918;1.72202624;314.485
1000;PELLCAPPDELTA10;108154.41;2148029687;1765.824012;0.978506812;3940.25
0.5;PELLCAPPDELTA15;137700.285;327960611.7;2052.210923;1.134170526;3538.71
1;PELLCAPPDELTA15;107561.015;278993342.3;1834.524825;1.014613592;2234.83
1.5;PELLCAPPDELTA15;69166.97;47458296.6;1788.244341;0.989310774;1262.18
2;PELLCAPPDELTA15;98566.84;11647661.29;1793.084166;0.992080754;1818.485
2.5;PELLCAPPDELTA15;54109.94;24292239.18;1879.925378;1.039585923;827.685
3;PELLCAPPDELTA15;67780.67;275732874;1834.524825;1.014613592;1654.065
3.5;PELLCAPPDELTA15;49073.25;24369012.39;1822.983159;1.008016607;699.74
4;PELLCAPPDELTA15;45224.325;4459161.32;2076.728008;1.148936265;700.785
5;PELLCAPPDELTA15;51825.2;105048103.6;1776.341512;0.982849681;1047.995
10;PELLCAPPDELTA15;41596.82;90992206.23;1848.70828;1.022661799;941.18
15;PELLCAPPDELTA15;28928.74;3316635.625;1920.952296;1.0629226;287.24
20;PELLCAPPDELTA15;28351.615;810906.2;3109.039918;1.72202624;281.665
30;PELLCAPPDELTA15;49523.07;357069960.1;1933.525769;1.067659209;1684.255
40;PELLCAPPDELTA15;39748.2;29177631.8;2001.194222;1.107304618;579.765
50;PELLCAPPDELTA15;30283.995;7648818.555;1961.250611;1.084678341;332.105
70;PELLCAPPDELTA15;22893.725;2603411.93;1994.792701;1.105103914;208.75
100;PELLCAPPDELTA15;23188.96;840334.42;3109.039918;1.72202624;146.93
200;PELLCAPPDELTA15;26069.87;814768.61;3109.039918;1.72202624;183.96
500;PELLCAPPDELTA15;31195.72;808555.4;3109.039918;1.72202624;304.67
1000;PELLCAPPDELTA15;52669.275;289747631.1;2002.689114;1.108213523;1539.59
0.5;PELLCAPPDELTA20;102656.385;96874592.47;1873.894379;1.037227832;2416.015
1;PELLCAPPDELTA20;71176.185;85220091.07;1804.735106;0.998803218;1484.24
1.5;PELLCAPPDELTA20;55324.985;15337195.92;1829.39171;1.011970333;921.46
2;PELLCAPPDELTA20;76476.015;5899688.95;1881.691523;1.041977894;1475.22
2.5;PELLCAPPDELTA20;41064.115;8680601.86;2088.213284;1.154995472;599.56
3;PELLCAPPDELTA20;50609.37;83766561.84;1804.735106;0.998803218;1022.915
3.5;PELLCAPPDELTA20;40110.075;8653763.76;1972.619011;1.091470402;510.62
4;PELLCAPPDELTA20;34847.855;2916490.57;2043.244936;1.129985484;622.775
5;PELLCAPPDELTA20;46011.555;27595301.34;1986.710188;1.099115418;638.5
10;PELLCAPPDELTA20;37703.96;26349348;1964.440728;1.086828164;597.61
15;PELLCAPPDELTA20;26705.61;2103706.49;2159.689835;1.194649625;260.81
20;PELLCAPPDELTA20;27917.575;791728.23;3109.039918;1.72202624;273.4
30;PELLCAPPDELTA20;42273.535;107112066.9;1740.77232;0.963208616;988.19
40;PELLCAPPDELTA20;30717.07;10145385.82;1876.271145;1.038322792;385.695
50;PELLCAPPDELTA20;27229.335;3450139.695;1930.071249;1.065565835;239.48
70;PELLCAPPDELTA20;21572.665;1441186.63;2253.832259;1.245768799;173.345
100;PELLCAPPDELTA20;23564.715;827055.76;3109.039918;1.72202624;146.93
200;PELLCAPPDELTA20;24889.19;805710.425;3109.039918;1.72202624;183.96
500;PELLCAPPDELTA20;28889.875;809623.91;3109.039918;1.72202624;292.03
1000;PELLCAPPDELTA20;41964.55;88877246.81;1861.274145;1.029748578;907.565
