beta;algorithm;update;query;radius;ratio;memory
50;PELLCAPPDELTA10;14029.865;64923.73;13.58251613;1.992943365;253.365
70;PELLCAPPDELTA10;14275.12;58226.035;13.58251613;1.992943365;253.365
100;PELLCAPPDELTA10;15669.61;63501.55;13.58251613;1.992943365;253.365
200;PELLCAPPDELTA10;16356.43;64034.955;13.58251613;1.992943365;253.365
500;PELLCAPPDELTA10;15698.36;63024.595;13.58251613;1.992943365;253.365
1000;PELLCAPPDELTA10;14912.95;59259.465;13.58251613;1.992943365;253.365
0.5;PELLCAPPDELTA15;49430.47;373975.125;5.910139453;0.866633492;972.08
1;PELLCAPPDELTA15;33185.405;772047.39;6.066922426;0.889631807;512.655
1.5;PELLCAPPDELTA15;25345.37;286368.5;6.556212894;0.961000886;453.63
2;PELLCAPPDELTA15;29132.76;252224.86;7.291946412;1.068987199;395.165
2.5;PELLCAPPDELTA15;22538.285;1064201.73;5.799387725;0.849366299;341.325
3;PELLCAPPDELTA15;21757.27;782140.42;6.066922426;0.889631807;286.54
3.5;PELLCAPPDELTA15;20039.64;528084.45;5.313716231;0.779060642;273.925
4;PELLCAPPDELTA15;18725.965;333006.27;5.665111364;0.830510135;254.85
5;PELLCAPPDELTA15;18892.39;410615.17;7.125476812;1.04565827;245.06
10;PELLCAPPDELTA15;14342.505;173877.575;6.424282382;0.942304299;202.31
15;PELLCAPPDELTA15;12321.545;137117.66;9.790711551;1.43514756;181.185
20;PELLCAPPDELTA15;12155.125;63299.36;13.58251613;1.992943365;176.185
30;PELLCAPPDELTA15;11824.045;56928.805;13.58251613;1.992943365;176.185
40;PELLCAPPDELTA15;13106.185;60219.255;13.58251613;1.992943365;176.185
50;PELLCAPPDELTA15;11454.32;56589.415;13.58251613;1.992943365;176.185
70;PELLCAPPDELTA15;12688.475;56221.35;13.58251613;1.992943365;176.185
100;PELLCAPPDELTA15;12625.085;61740.76;13.58251613;1.992943365;176.185
200;PELLCAPPDELTA15;13403.59;61320.745;13.58251613;1.992943365;176.185
500;PELLCAPPDELTA15;12888.21;61015.815;13.58251613;1.992943365;176.185
1000;PELLCAPPDELTA15;12065.605;56083.095;13.58251613;1.992943365;176.185
0.5;PELLCAPPDELTA20;42447.605;359742.81;5.791837858;0.849335176;715.565
1;PELLCAPPDELTA20;29168.86;434699.85;8.566607146;1.257216384;405.285
1.5;PELLCAPPDELTA20;22841.925;240329.76;6.057226737;0.888224042;345.76
2;PELLCAPPDELTA20;26475.09;230482.78;8.845994847;1.298893761;289.365
2.5;PELLCAPPDELTA20;19973.45;540205.76;5.313716231;0.779060642;252.325
3;PELLCAPPDELTA20;19617.935;444494.25;8.566607146;1.257216384;224.865
3.5;PELLCAPPDELTA20;18926.13;434793.28;7.125476812;1.04565827;221.27
4;PELLCAPPDELTA20;17707.895;293000.36;5.401564075;0.791955194;211.65
5;PELLCAPPDELTA20;16474.23;254260.66;6.045721834;0.88693073;198.98
10;PELLCAPPDELTA20;14681.495;141096.24;9.764475458;1.431400905;164.245
15;PELLCAPPDELTA20;11887.525;63609.325;13.58251613;1.992943365;143.12
20;PELLCAPPDELTA20;11629.81;55488.58;13.58251613;1.992943365;143.12
30;PELLCAPPDELTA20;11535.535;55443.17;13.58251613;1.992943365;143.12
40;PELLCAPPDELTA20;12492.02;58514.125;13.58251613;1.992943365;143.12
50;PELLCAPPDELTA20;11336.82;54592.085;13.58251613;1.992943365;143.12
70;PELLCAPPDELTA20;12272.23;55699.96;13.58251613;1.992943365;143.12
100;PELLCAPPDELTA20;13397.755;60118.89;13.58251613;1.992943365;143.12
200;PELLCAPPDELTA20;12820.505;61471.595;13.58251613;1.992943365;143.12
500;PELLCAPPDELTA20;12738.63;60394.03;13.58251613;1.992943365;143.12
1000;PELLCAPPDELTA20;12072.54;55456.66;13.58251613;1.992943365;143.12
