wsize;algorithm;update;query;radius;ratio;memory
500000;PELLCAPPDELTA25;349530.15;477216.29;2.380181224;1.11482299;19135.725
500;PELLCAPPDELTA30;26148.635;28568949.52;1.933277197;0.990573692;707.94
1000;PELLCAPPDELTA30;30612.69;96129291.42;1.98527931;1.000567485;1120.36
5000;PELLCAPPDELTA30;37718.875;473431385.6;2.072464137;1.027328207;2152.605
10000;PELLCAPPDELTA30;60659.14;690542643.6;2.076648032;1.028845071;2523.01
20000;PELLCAPPDELTA30;52807.215;1012942388;2.099330473;1.036067176;2999.065
30000;PELLCAPPDELTA30;30703.345;315233.465;2.519882167;1.243824109;4137.645
40000;PELLCAPPDELTA30;31661.64;348327.01;2.503527322;1.182986073;4742.115
50000;PELLCAPPDELTA30;49537.66;399222.37;2.537948927;1.210533991;5657.495
60000;PELLCAPPDELTA30;44488.045;418469.06;2.40618263;1.14253056;4881.79
70000;PELLCAPPDELTA30;42047.66;389956.895;2.545599955;1.215072281;4845.99
80000;PELLCAPPDELTA30;47080.08;393802.24;2.662095291;1.254651675;3933.595
90000;PELLCAPPDELTA30;56424.49;441701.875;2.586425428;1.205581713;4488.06
100000;PELLCAPPDELTA30;65494.855;414884.085;2.547327828;1.213693878;5088.93
200000;PELLCAPPDELTA30;83330.465;484886.03;2.514234083;1.174659358;4692.15
500000;PELLCAPPDELTA30;106309.205;490870.99;2.380181224;1.11482299;4246.535
500;PELLCAPPDELTA35;22928.36;8479693.18;1.985960298;1.01756749;448.255
1000;PELLCAPPDELTA35;23306.865;11626251.19;2.025601111;1.020889403;501.275
5000;PELLCAPPDELTA35;34108.87;25502005.42;2.114490729;1.048160946;666.85
10000;PELLCAPPDELTA35;39603.59;30544574.04;2.11085401;1.045791926;708.78
20000;PELLCAPPDELTA35;36976.935;44269376.89;2.192316276;1.081957778;815.915
30000;PELLCAPPDELTA35;22679.045;314651.23;2.519882167;1.243824109;1135.945
40000;PELLCAPPDELTA35;23464.715;345730.995;2.503527322;1.182986073;1287.735
50000;PELLCAPPDELTA35;36516.245;389425.175;2.537948927;1.210533991;1468.3
60000;PELLCAPPDELTA35;34263.235;415156.94;2.40618263;1.14253056;1235.49
70000;PELLCAPPDELTA35;34748.4;385512.34;2.545599955;1.215072281;1384.98
80000;PELLCAPPDELTA35;38798.37;394836.28;2.662095291;1.254651675;1095.95
90000;PELLCAPPDELTA35;41954.785;438011.035;2.586425428;1.205581713;1209.065
100000;PELLCAPPDELTA35;42421.995;422229.995;2.547327828;1.213693878;1257.21
200000;PELLCAPPDELTA35;51735.42;470652.665;2.514234083;1.174659358;1194.745
500000;PELLCAPPDELTA35;60447.39;493251.655;2.380181224;1.11482299;1228.085
500;PELLCAPPDELTA40;21033.305;1710525.88;1.999038252;1.02426838;282.08
1000;PELLCAPPDELTA40;19723.695;2744070.57;2.089260232;1.052973174;324.27
5000;PELLCAPPDELTA40;21081.94;3557834.895;2.112486541;1.047167462;355.375
10000;PELLCAPPDELTA40;22934.28;3147600.41;2.201772064;1.090835953;341.18
20000;PELLCAPPDELTA40;22705.91;3414637.485;2.165340281;1.068644513;350.395
30000;PELLCAPPDELTA40;20340.345;313117.22;2.519882167;1.243824109;474.945
40000;PELLCAPPDELTA40;22074.805;341540.49;2.503527322;1.182986073;514.135
50000;PELLCAPPDELTA40;31619.4;384762.55;2.537948927;1.210533991;513.995
60000;PELLCAPPDELTA40;33330.805;417725.45;2.40618263;1.14253056;513.49
70000;PELLCAPPDELTA40;32653.13;398242.155;2.545599955;1.215072281;513.98
80000;PELLCAPPDELTA40;37843.655;404400.325;2.662095291;1.254651675;513.95
90000;PELLCAPPDELTA40;38552.02;436494.075;2.586425428;1.205581713;514.065
100000;PELLCAPPDELTA40;38009.305;412864.86;2.547327828;1.213693878;513.21
200000;PELLCAPPDELTA40;43654.05;466183.515;2.514234083;1.174659358;514.25
500000;PELLCAPPDELTA40;43668.95;479688.99;2.380181224;1.11482299;514.085
