beta;algorithm;update;query;radius;ratio;memory
40;PELLCAPPDELTA10;20947.82;1388927.26;13.7283669;1.467831393;286.455
50;PELLCAPPDELTA10;22929.965;1076189.475;13.11154926;1.401960006;271.555
70;PELLCAPPDELTA10;19379.375;667841.295;13.75672097;1.47061286;256.9
100;PELLCAPPDELTA10;22069.82;704940.495;13.75672097;1.47061286;256.9
200;PELLCAPPDELTA10;21496.53;691608.32;13.75672097;1.47061286;256.9
500;PELLCAPPDELTA10;21055.435;684510.88;13.75672097;1.47061286;256.9
1000;PELLCAPPDELTA10;19794.95;664375.075;13.75672097;1.47061286;256.9
0.5;PELLCAPPDELTA15;122249.89;37866673.58;9.095190446;0.972680166;3828.465
1;PELLCAPPDELTA15;74666.515;81884737.77;10.15320798;1.086367711;2082.985
1.5;PELLCAPPDELTA15;49727.625;21104831.45;9.739204943;1.041620738;1423.93
2;PELLCAPPDELTA15;60558.77;6771021.425;10.23490417;1.094773845;1209.53
2.5;PELLCAPPDELTA15;50446.415;4032093.285;11.76226131;1.256869801;1440.565
3;PELLCAPPDELTA15;45452.645;81429907.07;10.15320798;1.086367711;1262.86
3.5;PELLCAPPDELTA15;43316.145;59260108.56;9.599043194;1.026444461;1095.275
4;PELLCAPPDELTA15;41278.85;44559755.78;9.793810118;1.046737533;984.35
5;PELLCAPPDELTA15;35223.605;23450209.97;9.810553749;1.049474637;762.62
10;PELLCAPPDELTA15;23772.685;4166104.74;11.28413556;1.206364322;430.18
15;PELLCAPPDELTA15;18473.815;1656922.79;13.52196549;1.446014106;292.295
20;PELLCAPPDELTA15;18406.855;1259433.815;14.30756312;1.530775713;273.235
30;PELLCAPPDELTA15;18020.935;1050274.19;13.23192626;1.414717531;265.525
40;PELLCAPPDELTA15;18743.14;672180.285;13.75672097;1.47061286;250.87
50;PELLCAPPDELTA15;21086.255;718234.59;13.75672097;1.47061286;250.87
70;PELLCAPPDELTA15;17435.35;642510.28;13.75672097;1.47061286;250.87
100;PELLCAPPDELTA15;20613.14;694701.97;13.75672097;1.47061286;250.87
200;PELLCAPPDELTA15;20378.295;683629.12;13.75672097;1.47061286;250.87
500;PELLCAPPDELTA15;20741.34;685621.44;13.75672097;1.47061286;250.87
1000;PELLCAPPDELTA15;18269.48;653662.31;13.75672097;1.47061286;250.87
0.5;PELLCAPPDELTA20;88368.985;17397842.85;9.572687273;1.024522353;2848.37
1;PELLCAPPDELTA20;55522.565;32065668.12;9.503422344;1.016639946;1551.82
1.5;PELLCAPPDELTA20;38127.815;11041731.82;9.895732829;1.058272866;1114.14
