wsize;algorithm;update;query;radius;ratio;memory
90000;PELLCAPPDELTA20;75816.12;6813698.74;1970.174007;1.030642704;1181.18
100000;PELLCAPPDELTA20;70628.965;6024455.83;2017.11759;1.064010398;978.435
200000;PELLCAPPDELTA20;88028.38;7088169.02;1924.721329;0.99784114;1122.52
500000;PELLCAPPDELTA20;110155.505;6273300.765;2027.6246;1.063153073;1543.7
500;PELLCAPPDELTA25;42917.65;26288010.33;1561.325119;0.940605679;822.32
1000;PELLCAPPDELTA25;43641.165;3737584.085;1724.841929;1.000695631;958.01
5000;PELLCAPPDELTA25;24837.095;3498826.47;2490.583283;1.405059242;912.015
10000;PELLCAPPDELTA25;70905.31;3532922.99;2096.87325;1.155145813;1134.46
20000;PELLCAPPDELTA25;51667.46;4133902.23;2264.961723;1.242483814;972.305
30000;PELLCAPPDELTA25;56715.77;3461517.205;1899.972676;1.038179683;1001.195
40000;PELLCAPPDELTA25;73954.315;3604798.37;1903.808218;1.020534905;920.615
50000;PELLCAPPDELTA25;61972.045;3482916.61;1975.615249;1.049956134;761.405
60000;PELLCAPPDELTA25;72397.895;3643472.415;1944.654508;1.088328985;1187.32
70000;PELLCAPPDELTA25;76113.42;3455293.845;1964.246543;1.060617584;1086.56
80000;PELLCAPPDELTA25;68505.545;3889465.56;2061.153284;1.099473774;1193.67
90000;PELLCAPPDELTA25;72525.185;4561181.66;2128.029622;1.106899655;963.425
100000;PELLCAPPDELTA25;72529.445;4444704.45;2414.288781;1.262980692;847.45
200000;PELLCAPPDELTA25;80758.51;3713792.41;1980.539254;1.023003976;927.625
500000;PELLCAPPDELTA25;96912.75;3700312.63;1901.610395;0.993330727;1182.97
500;PELLCAPPDELTA30;30207.41;17309336.02;1573.436981;0.947902357;684.71
1000;PELLCAPPDELTA30;27650.1;3009735.71;1882.13322;1.09195078;820.135
5000;PELLCAPPDELTA30;27008.27;2733532.78;2321.081807;1.30943521;782.955
10000;PELLCAPPDELTA30;36553.37;2674020.9;2124.655601;1.170450823;918.485
20000;PELLCAPPDELTA30;40317.29;2775537.94;2205.289317;1.209749486;780.655
30000;PELLCAPPDELTA30;52488.165;3090315.435;2045.020806;1.117436623;869.275
40000;PELLCAPPDELTA30;54603.58;3048500.665;2340.310467;1.254521594;785.825
50000;PELLCAPPDELTA30;56083.52;3088710.235;2087.39376;1.109361696;673.82
60000;PELLCAPPDELTA30;62418.745;2980452.175;2495.865729;1.39681522;979.625
70000;PELLCAPPDELTA30;63206.285;3150766.435;2013.507725;1.087216728;872.09
80000;PELLCAPPDELTA30;57939.58;3356544.885;2128.098186;1.135183958;988.805
90000;PELLCAPPDELTA30;62382.89;3099098.915;2134.827605;1.110435641;790.52
100000;PELLCAPPDELTA30;60275.37;2722998.045;2260.782225;1.182677201;739.655
200000;PELLCAPPDELTA30;76090.585;3292056.9;2467.790909;1.274683098;864.875
500000;PELLCAPPDELTA30;87774.87;2952440.765;2164.355198;1.130578865;992.93
500;PELLCAPPDELTA35;29352.16;12292421.33;1602.084011;0.965160491;612.49
1000;PELLCAPPDELTA35;27476.65;2400961.675;1958.026956;1.135981789;696.32
5000;PELLCAPPDELTA35;26781.555;2446282.09;2089.403657;1.17873429;723.555
10000;PELLCAPPDELTA35;37052.765;2552615.94;2116.147897;1.165764017;858.72
20000;PELLCAPPDELTA35;36498.875;3085583.87;2208.726721;1.211635134;704.865
30000;PELLCAPPDELTA35;48373.43;3187160.81;2032.365462;1.110521513;771.635
40000;PELLCAPPDELTA35;52773.475;3320926.38;2321.194362;1.244274421;705.34
50000;PELLCAPPDELTA35;52510.27;2887848.96;2582.091922;1.372272893;643
60000;PELLCAPPDELTA35;58859.48;2803340.48;2418.064943;1.353273887;828.51
70000;PELLCAPPDELTA35;60507.685;3151971.995;2080.746989;1.123523345;774.505
80000;PELLCAPPDELTA35;56794.17;3188903.315;2191.826596;1.169178381;877.31
90000;PELLCAPPDELTA35;60496.785;2903549.08;1929.917219;1.003851018;713.415
100000;PELLCAPPDELTA35;62045.99;2577965.525;2447.991586;1.280611554;705.68
200000;PELLCAPPDELTA35;71733.39;3115814.07;2315.164288;1.195847175;728.825
500000;PELLCAPPDELTA35;81890.08;2897212.12;2138.269099;1.116952454;821.575
500;PELLCAPPDELTA40;29131.07;10852387.37;1696.466107;1.0220201;570.405
1000;PELLCAPPDELTA40;26476.315;2277965.29;2103.265962;1.220244605;644.625
5000;PELLCAPPDELTA40;25624.63;1664801.22;2427.315299;1.369366693;609.065
10000;PELLCAPPDELTA40;33803.535;2061307.805;2178.984339;1.200379964;697.11
20000;PELLCAPPDELTA40;33799.145;1926669.545;2046.877755;1.122850092;628.55
30000;PELLCAPPDELTA40;46521.945;2294206.925;2039.193079;1.114252247;665.295
40000;PELLCAPPDELTA40;50216.605;1976276.295;2487.854533;1.333612475;626.19
50000;PELLCAPPDELTA40;49179.255;2213249.06;2267.185274;1.204913298;568.38
60000;PELLCAPPDELTA40;55467.71;2248550.515;2334.641488;1.306585818;716.6
70000;PELLCAPPDELTA40;56384.125;2026136.72;1932.416946;1.043430827;648.005
80000;PELLCAPPDELTA40;56109.35;2004988.945;2075.985286;1.107385556;700.9
90000;PELLCAPPDELTA40;56016.23;2485790.68;2180.134649;1.134002208;660.87
100000;PELLCAPPDELTA40;58797.005;1893583.745;2147.168807;1.123242906;625.125
200000;PELLCAPPDELTA40;67144.095;2487850.15;2550.961906;1.317643246;643.865
500000;PELLCAPPDELTA40;76995.1;1884381.3;2252.663297;1.17670774;685.28
