dataset;algorithm;update;query;radius;ratio;memory;dimensions;type;delta;wsize;beta;k
blobs;PELLCAPPDELTA20;47763.12;4192429.15;16.62428036;1.018778393;2665.71;4;Rand;2.0;20000;2.0;21
blobs;CAPPDELTA20;25446.34;4155358.97;16.62428036;1.018778393;2526.18;4;Rand;2.0;20000;2.0;21
blobs;JONES;13500.545;2502910545;16.41822454;1.368185378;30000;4;Rand;0.0;30000;2.0;21
blobs;CHEN;12915.56;1.70501E+11;13.69859457;1.141549547;30000;4;Rand;0.0;30000;2.0;21
blobs;PELLCAPPDELTA05;8904252.655;3063723579;16.25742863;1.354785719;161238.195;4;Rand;0.5;30000;2.0;21
blobs;CAPPDELTA05;8365529.29;2999623948;16.25742863;1.354785719;160117.485;4;Rand;0.5;30000;2.0;21
blobs;PELLCAPPDELTA20;601431.31;685395031.6;16.22579968;1.352149973;35451.77;4;Rand;2.0;30000;2.0;21
blobs;CAPPDELTA20;527205.52;684584032.5;16.22579968;1.352149973;35259.795;4;Rand;2.0;30000;2.0;21
blobs;JONES;4595.505;138932909.7;15.9008513;1;10000;5;Rand;0.0;10000;2.0;21
blobs;CHEN;3731.115;15617402046;14.15535382;0.890631721;10000;5;Rand;0.0;10000;2.0;21
blobs;PELLCAPPDELTA05;297382.385;136957511;15.99588625;1.006473456;19578.915;5;Rand;0.5;10000;2.0;21
blobs;CAPPDELTA05;266137.505;137118404.9;15.99588625;1.006473456;19355.605;5;Rand;0.5;10000;2.0;21
blobs;PELLCAPPDELTA20;39424.455;4942851.54;15.79030043;0.993552599;2876.78;5;Rand;2.0;10000;2.0;21
blobs;CAPPDELTA20;21690.32;4897825.06;15.79030043;0.993552599;2697.91;5;Rand;2.0;10000;2.0;21
blobs;JONES;6332.795;947087979.6;16.50045923;1;20000;5;Rand;0.0;20000;2.0;21
blobs;CHEN;6376.21;70016114504;14.2812534;0.866626794;20000;5;Rand;0.0;20000;2.0;21
blobs;PELLCAPPDELTA05;709018.03;487937745.5;16.59176852;1.006813475;32715.4;5;Rand;0.5;20000;2.0;21
blobs;CAPPDELTA05;288690.755;488227258.8;16.59176852;1.006813475;32501.025;5;Rand;0.5;20000;2.0;21
blobs;PELLCAPPDELTA20;53598.07;6321228.46;16.70600186;1.013762568;3212.57;5;Rand;2.0;20000;2.0;21
blobs;CAPPDELTA20;25835.655;6299022.935;16.70600186;1.013762568;3043;5;Rand;2.0;20000;2.0;21
blobs;JONES;13560.805;1190570862;18.04185276;1.50348773;30000;5;Rand;0.0;30000;2.0;21
blobs;CHEN;11846.245;1.56391E+11;14.37643172;1.198035977;30000;5;Rand;0.0;30000;2.0;21
blobs;PELLCAPPDELTA05;1157889.155;997282183.3;18.12084579;1.510070483;44827.055;5;Rand;0.5;30000;2.0;21
blobs;CAPPDELTA05;1098910.19;1002967256;18.12084579;1.510070483;44610.63;5;Rand;0.5;30000;2.0;21
blobs;PELLCAPPDELTA20;88577.76;7317303.295;17.08342901;1.423619084;3373.16;5;Rand;2.0;30000;2.0;21
blobs;CAPPDELTA20;56921.055;7266648.86;17.08342901;1.423619084;3201.27;5;Rand;2.0;30000;2.0;21
blobs;JONES;4128.815;119559924.2;17.71760494;1;10000;6;Rand;0.0;10000;2.0;21
blobs;CHEN;3767.53;15394541404;14.66493595;0.82953591;10000;6;Rand;0.0;10000;2.0;21
blobs;PELLCAPPDELTA05;420078.145;166797583.1;17.5202813;0.990740316;23952.265;6;Rand;0.5;10000;2.0;21
blobs;CAPPDELTA05;407130.27;167126107.4;17.5202813;0.990740316;23740.335;6;Rand;0.5;10000;2.0;21
blobs;PELLCAPPDELTA20;43788.835;6739835.345;17.81694803;1.007778382;3314.895;6;Rand;2.0;10000;2.0;21
blobs;CAPPDELTA20;21629.11;6707705.95;17.81694803;1.007778382;3147.51;6;Rand;2.0;10000;2.0;21
blobs;JONES;5416.49;943225664.1;17.63246008;1;20000;6;Rand;0.0;20000;2.0;21
blobs;CHEN;5835.695;70770126912;14.83077586;0.84329719;20000;6;Rand;0.0;20000;2.0;21
blobs;PELLCAPPDELTA05;1453788.245;595720919.3;17.78889641;1.011403853;39716.735;6;Rand;0.5;20000;2.0;21
blobs;CAPPDELTA05;614290.545;596005412.2;17.78889641;1.011403853;39497.44;6;Rand;0.5;20000;2.0;21
blobs;PELLCAPPDELTA20;66329.76;9606109.02;17.55668293;0.998275463;3886.725;6;Rand;2.0;20000;2.0;21
blobs;CAPPDELTA20;31519.205;9562789.775;17.55668293;0.998275463;3712.11;6;Rand;2.0;20000;2.0;21
blobs;JONES;11676.155;953654672.7;17.94437219;1.495364349;30000;6;Rand;0.0;30000;2.0;21
blobs;CHEN;12498.545;1.53086E+11;14.93627115;1.244689262;30000;6;Rand;0.0;30000;2.0;21
blobs;PELLCAPPDELTA05;2098123.045;1277539983;18.0040897;1.500340809;54134.315;6;Rand;0.5;30000;2.0;21
blobs;CAPPDELTA05;1931599.175;1300306161;18.0040897;1.500340809;53917.215;6;Rand;0.5;30000;2.0;21
blobs;PELLCAPPDELTA20;98361.325;11635409.96;17.76535081;1.480445901;4213.5;6;Rand;2.0;30000;2.0;21
blobs;CAPPDELTA20;64294.665;11611727.89;17.76535081;1.480445901;4040.805;6;Rand;2.0;30000;2.0;21
blobs;JONES;4789.72;99599320.97;17.48617634;1;10000;7;Rand;0.0;10000;2.0;21
blobs;CHEN;3670.99;15160562581;15.75564752;0.90151462;10000;7;Rand;0.0;10000;2.0;21
blobs;PELLCAPPDELTA05;947817.52;189141241.3;17.30679963;0.990132281;27596.835;7;Rand;0.5;10000;2.0;21
blobs;CAPPDELTA05;582992.995;197313353.2;17.30679963;0.990132281;27373.925;7;Rand;0.5;10000;2.0;21
blobs;PELLCAPPDELTA20;60593.975;12032698.54;17.67018332;1.011019459;4414.54;7;Rand;2.0;10000;2.0;21
blobs;CAPPDELTA20;26642.305;11983914.84;17.67018332;1.011019459;4236.265;7;Rand;2.0;10000;2.0;21
blobs;JONES;6911.435;908948211.6;17.7465185;1;20000;7;Rand;0.0;20000;2.0;21
blobs;CHEN;6421.08;70652520585;15.95611213;0.900478512;20000;7;Rand;0.0;20000;2.0;21
blobs;PELLCAPPDELTA05;2100406.065;736042389.8;17.35804141;0.979701574;47562.37;7;Rand;0.5;20000;2.0;21
blobs;CAPPDELTA05;1237083.77;740110381.4;17.35804141;0.979701574;47327.055;7;Rand;0.5;20000;2.0;21
blobs;PELLCAPPDELTA20;93766.38;16750737.05;17.92546548;1.011811112;5109.465;7;Rand;2.0;20000;2.0;21
blobs;CAPPDELTA20;39293.635;16746731.45;17.92546548;1.011811112;4918.975;7;Rand;2.0;20000;2.0;21
blobs;JONES;11245.905;1043962903;18.04843241;1.504036034;30000;7;Rand;0.0;30000;2.0;21
blobs;CHEN;11629.99;1.53256E+11;16.29565077;1.357970897;30000;7;Rand;0.0;30000;2.0;21
blobs;PELLCAPPDELTA05;3256612.99;1754540632;17.44394552;1.453662127;65373.965;7;Rand;0.5;30000;2.0;21
blobs;CAPPDELTA05;3110737.1;1774059103;17.44394552;1.453662127;65164.085;7;Rand;0.5;30000;2.0;21
blobs;PELLCAPPDELTA20;113470.26;19518965.61;18.54448569;1.545373807;5434.335;7;Rand;2.0;30000;2.0;21
blobs;CAPPDELTA20;79012.985;19514136.11;18.54448569;1.545373807;5268.365;7;Rand;2.0;30000;2.0;21
blobs;JONES;4643.49;100444861.6;18.33302237;1;10000;8;Rand;0.0;10000;2.0;21
blobs;CHEN;3597.73;15165581601;15.94188197;0.869718507;10000;8;Rand;0.0;10000;2.0;21
blobs;PELLCAPPDELTA05;989021.395;214674269.6;18.48822532;1.008624928;30504.54;8;Rand;0.5;10000;2.0;21
blobs;CAPPDELTA05;761390.195;218298370.2;18.48822532;1.008624928;30291.7;8;Rand;0.5;10000;2.0;21
blobs;PELLCAPPDELTA20;63749.805;17072581.75;17.13500236;0.934787871;5258.655;8;Rand;2.0;10000;2.0;21
blobs;CAPPDELTA20;38551.12;17023084.98;17.13500236;0.934787871;5090.47;8;Rand;2.0;10000;2.0;21
blobs;JONES;7506.355;577437791.8;18.55657396;1;20000;8;Rand;0.0;20000;2.0;21
blobs;CHEN;7154.73;68466232193;16.43260791;0.886197749;20000;8;Rand;0.0;20000;2.0;21
blobs;PELLCAPPDELTA05;2121929.01;837015298.1;19.01290204;1.02551082;55189.39;8;Rand;0.5;20000;2.0;21
blobs;CAPPDELTA05;1581002.54;822539277.6;19.01290204;1.02551082;54985.36;8;Rand;0.5;20000;2.0;21
blobs;PELLCAPPDELTA20;85129.885;25492606.14;18.22770323;0.983118611;6289.615;8;Rand;2.0;20000;2.0;21
blobs;CAPPDELTA20;45600.955;25488921.95;18.22770323;0.983118611;6130.31;8;Rand;2.0;20000;2.0;21
blobs;JONES;11993.295;985032070.3;18.8101715;1.567514292;30000;8;Rand;0.0;30000;2.0;21
blobs;CHEN;11871.93;1.53429E+11;16.51310647;1.376092206;30000;8;Rand;0.0;30000;2.0;21
blobs;PELLCAPPDELTA05;4166718.37;2413685382;19.26253699;1.605211416;76622.05;8;Rand;0.5;30000;2.0;21
blobs;CAPPDELTA05;4201150.69;2347401246;19.26253699;1.605211416;76428.1;8;Rand;0.5;30000;2.0;21
blobs;PELLCAPPDELTA20;131581.075;34471577.92;19.16931536;1.597442946;7190.845;8;Rand;2.0;30000;2.0;21
blobs;CAPPDELTA20;98099.925;34458930.56;19.16931536;1.597442946;7041.42;8;Rand;2.0;30000;2.0;21
blobs;JONES;4087.87;136354880.2;18.00258819;1;10000;9;Rand;0.0;10000;2.0;21
blobs;CHEN;3770.46;15755456391;16.21355616;0.901734053;10000;9;Rand;0.0;10000;2.0;21
blobs;PELLCAPPDELTA05;1102116.095;223486570.7;17.98962597;1.000471733;31771.01;9;Rand;0.5;10000;2.0;21
blobs;CAPPDELTA05;964037.035;225880552.9;17.98962597;1.000471733;31555.795;9;Rand;0.5;10000;2.0;21
blobs;PELLCAPPDELTA20;110930;28491742.01;17.55541783;0.976721754;6644.33;9;Rand;2.0;10000;2.0;21
blobs;CAPPDELTA20;41622.975;28488856.23;17.55541783;0.976721754;6473.97;9;Rand;2.0;10000;2.0;21
blobs;JONES;8977.875;564156292.4;18.15040382;1;20000;9;Rand;0.0;20000;2.0;21
blobs;CHEN;6870.79;67289642105;16.45176214;0.907340647;20000;9;Rand;0.0;20000;2.0;21
blobs;PELLCAPPDELTA05;2669838.435;1008434192;17.80923192;0.982026897;59890.25;9;Rand;0.5;20000;2.0;21
blobs;CAPPDELTA05;1909872.59;996183774.8;17.80923192;0.982026897;59678.005;9;Rand;0.5;20000;2.0;21
blobs;PELLCAPPDELTA20;123371.045;48446485.6;17.84915739;0.984440525;8548.94;9;Rand;2.0;20000;2.0;21
blobs;CAPPDELTA20;56565.34;48491589.92;17.84915739;0.984440525;8380.97;9;Rand;2.0;20000;2.0;21
blobs;JONES;30151.175;977581021.1;18.36087482;1.530072902;30000;9;Rand;0.0;30000;2.0;21
blobs;CHEN;19080.53;1.61826E+11;16.50973325;1.375811104;30000;9;Rand;0.0;30000;2.0;21
blobs;PELLCAPPDELTA05;6300615.36;3086095567;18.21370718;1.517808932;85557.175;9;Rand;0.5;30000;2.0;21
blobs;CAPPDELTA05;6130182.73;3083443374;18.21370718;1.517808932;85332.7;9;Rand;0.5;30000;2.0;21
blobs;PELLCAPPDELTA20;221878.315;67721680.7;17.83591573;1.486326311;9732.44;9;Rand;2.0;30000;2.0;21
blobs;CAPPDELTA20;160013.805;67650368.25;17.83591573;1.486326311;9552.455;9;Rand;2.0;30000;2.0;21
blobs;JONES;4531.235;107425445.6;18.0991247;1;10000;10;Rand;0.0;10000;2.0;21
blobs;CHEN;4016.955;15508362310;16.63565845;0.9193152;10000;10;Rand;0.0;10000;2.0;21
blobs;PELLCAPPDELTA05;858874.08;229595707.8;18.02831925;0.99617349;32509.21;10;Rand;0.5;10000;2.0;21
blobs;CAPPDELTA05;971067.94;229138500.7;18.02831925;0.99617349;32306.96;10;Rand;0.5;10000;2.0;21
blobs;PELLCAPPDELTA20;93519.715;43097685.57;18.29525064;1.011013014;8181.165;10;Rand;2.0;10000;2.0;21
blobs;CAPPDELTA20;37831.1;43029889.72;18.29525064;1.011013014;8023.36;10;Rand;2.0;10000;2.0;21
blobs;JONES;8481.01;676958487.9;19.00285757;1;20000;10;Rand;0.0;20000;2.0;21
blobs;CHEN;8702.795;69474875482;17.03229348;0.897086762;20000;10;Rand;0.0;20000;2.0;21
blobs;PELLCAPPDELTA05;2645759.39;1070477297;19.01503569;1.001196016;62273.155;10;Rand;0.5;20000;2.0;21
blobs;CAPPDELTA05;2045606.45;1077090179;19.01503569;1.001196016;62083.5;10;Rand;0.5;20000;2.0;21
blobs;PELLCAPPDELTA20;123023.01;77462807.89;20.02905492;1.055054705;10738.195;10;Rand;2.0;20000;2.0;21
blobs;CAPPDELTA20;66625.725;77534986.02;20.02905492;1.055054705;10593.005;10;Rand;2.0;20000;2.0;21
blobs;JONES;18461.19;976310030.3;19.27004689;1.605837241;30000;10;Rand;0.0;30000;2.0;21
blobs;CHEN;13913.23;1.61066E+11;17.14259972;1.428549977;30000;10;Rand;0.0;30000;2.0;21
blobs;PELLCAPPDELTA05;6016842.535;3262169132;19.23828558;1.603190465;91197.55;10;Rand;0.5;30000;2.0;21
blobs;CAPPDELTA05;6033512.285;3042439531;19.23828558;1.603190465;90990.43;10;Rand;0.5;30000;2.0;21
blobs;PELLCAPPDELTA20;208619.53;112957780.3;19.870724;1.655893667;12642.545;10;Rand;2.0;30000;2.0;21
blobs;CAPPDELTA20;193021.19;112893694.9;19.870724;1.655893667;12480.105;10;Rand;2.0;30000;2.0;21
