wsize;algorithm;update;query;radius;ratio;memory
30000;PELLCAPPDELTA25;19086.205;238226.19;9.786032205;1.475112427;294.895
40000;PELLCAPPDELTA25;26143.95;219583.81;9.741270007;1.424378545;276.85
50000;PELLCAPPDELTA25;22770.725;356142.765;6.744776594;0.715635755;318.91
60000;PELLCAPPDELTA25;29886;349710.19;9.014258448;1.3677403;285.335
70000;PELLCAPPDELTA25;28237.29;385884.09;8.198262347;1.030111126;275.39
80000;PELLCAPPDELTA25;28607.755;303287.205;8.094030295;1.132555341;302.315
90000;PELLCAPPDELTA25;35921.9;413426.42;7.857932251;1.206983397;298.95
100000;PELLCAPPDELTA25;35730.515;385684.07;8.489982094;1.218879087;301.39
200000;PELLCAPPDELTA25;42777.86;481743.55;9.641884533;1.118089364;266.08
500000;PELLCAPPDELTA25;46428.115;545620.61;9.602478196;0.976868898;260.965
500;PELLCAPPDELTA30;17198.835;230896.685;4.284900037;1.400759088;175.885
1000;PELLCAPPDELTA30;14928.72;279911.775;5.561822791;1.629811153;182.975
5000;PELLCAPPDELTA30;16604.745;391530.86;5.542560385;1.133028979;185.5
10000;PELLCAPPDELTA30;19517.025;241700.56;11.08369934;1.603331292;214.04
20000;PELLCAPPDELTA30;20973.935;229130.15;11.12067604;1.689757332;232.19
30000;PELLCAPPDELTA30;16670.515;254152.77;9.325875714;1.405750039;252.015
40000;PELLCAPPDELTA30;18820.72;250574.67;11.41975631;1.669808543;242.69
50000;PELLCAPPDELTA30;18616.585;269487.58;15.88949444;1.685910599;274.51
60000;PELLCAPPDELTA30;19193.55;318889.625;13.10493372;1.988421575;238.415
70000;PELLCAPPDELTA30;20074.885;345821.24;16.26604848;2.043827924;244.19
80000;PELLCAPPDELTA30;20659.015;319533.08;14.48193873;2.02638197;262.785
90000;PELLCAPPDELTA30;29356.715;296444.425;15.70796857;2.412753973;253.995
100000;PELLCAPPDELTA30;30349.955;358298.06;17.09500031;2.454273534;252.175
200000;PELLCAPPDELTA30;38795.13;436756.505;15.60308033;1.80935979;236
500000;PELLCAPPDELTA30;44198.84;388012.715;18.44081417;1.876000908;223.46
500;PELLCAPPDELTA35;16013.885;199293.045;3.816155447;1.247523718;160.67
1000;PELLCAPPDELTA35;14475.685;271827.16;4.423183861;1.2961496;175.765
5000;PELLCAPPDELTA35;16278.425;366364.4;7.298966027;1.492079373;178.3
10000;PELLCAPPDELTA35;19056.185;165852.425;13.58251613;1.964801864;196.79
20000;PELLCAPPDELTA35;20342.64;229528.54;11.74392519;1.784458393;213.94
30000;PELLCAPPDELTA35;16616.755;249878.845;11.33122653;1.70802964;226.965
40000;PELLCAPPDELTA35;18314.885;250621.775;9.710905119;1.41993856;211.825
50000;PELLCAPPDELTA35;17952.775;211807.88;13.14751962;1.39498099;240.49
60000;PELLCAPPDELTA35;17979.645;245067.81;12.68164011;1.924194914;211.785
70000;PELLCAPPDELTA35;18918.405;265340.775;13.35855896;1.678502056;211.62
80000;PELLCAPPDELTA35;20048.705;262223.735;12.96869619;1.814641854;229.585
90000;PELLCAPPDELTA35;27485.695;275875.03;12.91799115;1.984211666;227.28
100000;PELLCAPPDELTA35;29410.835;293913.09;13.14554722;1.887263413;216.6
200000;PELLCAPPDELTA35;38705.82;471859.2;15.03836863;1.743874858;220.06
500000;PELLCAPPDELTA35;42960.835;468975.73;15.57581576;1.584541997;223.2
500;PELLCAPPDELTA40;15690.435;173334.765;4.897723317;1.601094632;147.36
1000;PELLCAPPDELTA40;14397.485;268829.235;5.455373646;1.598617781;165.24
5000;PELLCAPPDELTA40;15665.2;294676.74;6.758013617;1.381496048;171.01
10000;PELLCAPPDELTA40;17942.375;161327.635;13.58251613;1.964801864;180.055
20000;PELLCAPPDELTA40;19730.64;200792.255;15.20394658;2.310199498;203.815
30000;PELLCAPPDELTA40;16202.405;240896.205;15.43538695;2.326676495;203.53
40000;PELLCAPPDELTA40;18284.225;235335.815;13.73583697;2.008468246;202.24
50000;PELLCAPPDELTA40;16949.185;210993.095;16.40797797;1.740922852;210.68
60000;PELLCAPPDELTA40;18008.92;226538.905;13.26683956;2.012987671;200.575
70000;PELLCAPPDELTA40;19176.93;248426.005;16.42291605;2.063538323;203.32
80000;PELLCAPPDELTA40;19640.565;240392.45;17.7030938;2.477101358;210.58
90000;PELLCAPPDELTA40;26899.77;226990.645;18.09458077;2.779339127;208.03
100000;PELLCAPPDELTA40;28370.545;278443.85;17.329494;2.487939029;206.655
200000;PELLCAPPDELTA40;38075.625;354761.83;16.45403539;1.908037989;211.825
500000;PELLCAPPDELTA40;41332.03;330657.615;19.62217696;1.996182027;199.23
500;CAPPDELTA05;42217.25;2529056.82;3.346831659;1.094099004;783.575
1000;CAPPDELTA05;39897.095;5369785.955;3.767056823;1.103881129;777.39
5000;CAPPDELTA05;54444.345;26487959.94;5.321353643;1.087809147;1101.4
10000;CAPPDELTA05;77976.695;1654278.765;6.165686795;0.891907861;1556.49
20000;CAPPDELTA05;111466.57;2081981.725;6.138485663;0.932726672;1956.17
30000;CAPPDELTA05;76980.785;2133197.85;7.005522802;1.055988119;2670.375
40000;CAPPDELTA05;93097.415;2522437.155;6.573552229;0.961191585;2882.395
50000;CAPPDELTA05;108351.685;2968451.8;9.424873683;1;3237.935
60000;CAPPDELTA05;66943.015;2854959.8;6.590621366;1;1897.64
70000;CAPPDELTA05;59022.795;4099812.46;7.958619358;1;1866.265
80000;CAPPDELTA05;52691.68;4168779.54;7.146697386;1;2514.095
90000;CAPPDELTA05;97109.28;4101732.54;6.51038968;1;2855.73
100000;CAPPDELTA05;143140.3;4855473.855;6.965401399;1;2964.565
200000;CAPPDELTA05;105135.355;6911812.765;8.623536581;1;3014.885
500000;CAPPDELTA05;79926.725;13342915.77;9.82985354;1;1501.2
