beta;algorithm;update;query;radius;ratio;memory
4;PELLCAPPDELTA15;1167392.51;16259832547;2.011266308;0.996823686;19932.465
5;PELLCAPPDELTA15;1211292.3;16274734246;2.011266308;0.996823686;19932.465
10;PELLCAPPDELTA15;1072998.455;16206186735;2.011266308;0.996823686;19932.465
15;PELLCAPPDELTA15;1174866.875;16355595964;2.011266308;0.996823686;19901.915
20;PELLCAPPDELTA15;1001648.06;16308529662;2.011266308;0.996823686;19901.915
30;PELLCAPPDELTA15;950129.465;16311694692;2.011266308;0.996823686;19901.915
40;PELLCAPPDELTA15;1171226.52;16162412594;2.011266308;0.996823686;19901.915
50;PELLCAPPDELTA15;1117565.57;16262738070;2.011266308;0.996823686;19901.915
70;PELLCAPPDELTA15;1326490.46;16259479186;2.011266308;0.996823686;19901.915
100;PELLCAPPDELTA15;1540854.24;16162937998;2.011266308;0.996823686;19901.915
200;PELLCAPPDELTA15;1330753.445;16135965225;2.011266308;0.996823686;19901.915
500;PELLCAPPDELTA15;1215541.715;16189975876;2.011266308;0.996823686;19901.915
1000;PELLCAPPDELTA15;1202504.495;16166282081;2.011266308;0.996823686;19901.915
0.5;PELLCAPPDELTA20;897147.805;16037347660;1.981839589;0.982338994;17396.08
1;PELLCAPPDELTA20;1001053.075;15954923342;1.981839589;0.982338994;15014.705
1.5;PELLCAPPDELTA20;912954.395;15981297673;1.981839589;0.982338994;14861.09
2;PELLCAPPDELTA20;953158.97;16163110655;1.981839589;0.982338994;14852.53
2.5;PELLCAPPDELTA20;916305.2;15987528292;1.981839589;0.982338994;14821.98
3;PELLCAPPDELTA20;998073.085;15988152442;1.981839589;0.982338994;14821.98
3.5;PELLCAPPDELTA20;689566.2;16006891916;1.981839589;0.982338994;14821.98
4;PELLCAPPDELTA20;613270.965;16090867781;1.981839589;0.982338994;14821.98
5;PELLCAPPDELTA20;604797.385;16110817767;1.981839589;0.982338994;14821.98
10;PELLCAPPDELTA20;569260.4;16118623421;1.981839589;0.982338994;14821.98
15;PELLCAPPDELTA20;618044.375;16172746142;1.981839589;0.982338994;14791.43
20;PELLCAPPDELTA20;486826.585;16154620862;1.981839589;0.982338994;14791.43
30;PELLCAPPDELTA20;496122.31;16146313057;1.981839589;0.982338994;14791.43
40;PELLCAPPDELTA20;637326.92;15990455732;1.981839589;0.982338994;14791.43
50;PELLCAPPDELTA20;512103.27;16105797895;1.981839589;0.982338994;14791.43
70;PELLCAPPDELTA20;634501.36;16079647980;1.981839589;0.982338994;14791.43
100;PELLCAPPDELTA20;780671.31;15978789698;1.981839589;0.982338994;14791.43
200;PELLCAPPDELTA20;685820.905;16020088314;1.981839589;0.982338994;14791.43
500;PELLCAPPDELTA20;638626.52;16016577727;1.981839589;0.982338994;14791.43
1000;PELLCAPPDELTA20;585141.885;15988763144;1.981839589;0.982338994;14791.43
